"FT263" "LD" "1" 68
"FT265" "LD" "1" 91
"FT266" "LD" "1" 82
"FT267" "LD" "1" 69
"FT268" "LD" "1" 64
"FT270" "LD" "1" 90
"FT272" "LD" "1" 62
"FT273" "LD" "1" 94
"FT274" "LD" "1" 62
"FT275" "LD" "1" 58
"FT279" "LD" "1" 63
"FT280" "LD" "1" 76
"FT281" "LD" "1" 76
"FT282" "LD" "1" 47
"FT283" "LD" "1" 63
"FT284" "LD" "1" 77
"FT285" "LD" "1" 63
"FT286" "LD" "1" 52
"FT287" "LD" "1" 50
"FT288" "LD" "1" 49
"FT289" "LD" "1" 74
"FT290" "LD" "1" 74
"FT291" "LD" "1" 50
"FT292" "LD" "1" 62
"FT293" "LD" "1" 76
"FT294" "LD" "1" 56
"FT295" "LD" "1" 64
"FT296" "LD" "1" 63
"FT297" "LD" "1" 66
"FT298" "LD" "1" 65
"FT300" "LD" "1" 60
"FT301" "LD" "1" 54
"FT302" "LD" "1" 55
"FT303" "LD" "1" 64
"FT306" "LD" "1" 69
"FT307" "LD" "1" 52
"FT309" "LD" "1" 52
"FT310" "LD" "1" 61
"FT311" "LD" "1" 62
"FT312" "LD" "1" 52
"FT313" "LD" "1" 71
"FT314" "LD" "1" 64
"FT315" "LD" "1" 64
"FT316" "LD" "1" 60
"FT317" "LD" "1" 57
"FT318" "LD" "1" 50
"FT320" "LD" "1" 64
"FT321" "LD" "1" 56
"FT322" "LD" "1" 58
"FT323" "LD" "1" 56
"FT324" "LD" "1" 56
"FT325" "LD" "1" 62
"FT326" "LD" "1" 51
"FT327" "LD" "1" 50
"FT328" "LD" "1" 54
"FT329" "LD" "1" 51
"FT331" "LD" "1" 69
"FT332" "LD" "1" 67
"FT334" "LD" "1" 64
"FT335" "LD" "1" 59
"FT336" "LD" "1" 62
"FT337" "LD" "1" 65
"FT338" "LD" "1" 92
"FT339" "LD" "1" 61
"FT340" "LD" "1" 54
"FT341" "LD" "1" 52
"FT342" "LD" "1" 71
"FT343" "LD" "1" 64
"FT344" "LD" "1" 50
"FT345" "LD" "1" 52
"FT346" "LD" "1" 54
"FT347" "LD" "1" 48
"FT348" "LD" "1" 78
"FT349" "LD" "1" 50
"FT350" "LD" "1" 50
"FT351" "LD" "1" 58
"FT352" "LD" "1" 46
"FT353" "LD" "1" 48
"FT354" "LD" "1" 62
"FT365" "LD" "1" 88
"FT370" "LD" "1" 90
"FT371" "LD" "1" 54
"FT372" "LD" "1" 58
"FT373" "LD" "1" 81
"FT376" "LD" "1" 64
"FT377" "LD" "1" 66
"FT378" "LD" "1" 62
"FT381" "LD" "1" 62
"FT382" "LD" "1" 62
"FT383" "LD" "1" 53
"FT385" "LD" "1" 62
"FT386" "LD" "1" 83
"FT387" "LD" "1" 67
"FT388" "LD" "1" 78
"FT389" "LD" "1" 51
"FT390" "LD" "1" 94
"FT391" "LD" "1" 67
"FT392" "LD" "1" 76
"FT393" "LD" "1" 66
"FT394" "LD" "1" 64
"FT399" "LD" "1" 75
"FT400" "LD" "1" 84
"FT402" "LD" "1" 68
"FT403" "LD" "1" 71
"FT405" "LD" "1" 80
"FT408" "LD" "1" 69
"FT409" "LD" "1" 73
"FT410" "LD" "1" 70
"FT412" "LD" "1" 73
"FT413" "LD" "1" 68
"FT414" "LD" "1" 59
"FT416" "LD" "1" 81
"FT417" "LD" "1" 90
"FT421" "LD" "1" 57
"FT424" "LD" "1" 73
"FT425" "LD" "1" 71
"FT426" "LD" "1" 81
"FT427" "LD" "1" 89
"FT430" "LD" "1" 82
"FT433" "LD" "1" 72
"FT434" "LD" "1" 52
"FT436" "LD" "1" 62
"FT437" "LD" "1" 52
"FT438" "LD" "1" 61
"FT439" "LD" "1" 54
"FT440" "LD" "1" 81
"FT441" "LD" "1" 54
"FT442" "LD" "1" 74
"FT443" "LD" "1" 68
"FT444" "LD" "1" 94
"FT445" "LD" "1" 78
"FT446" "LD" "1" 60
"FT447" "LD" "1" 61
"FT448" "LD" "1" 62
"FT450" "LD" "1" 91
"FT451" "LD" "1" 62
"FT453" "LD" "1" 98
"FT454" "LD" "1" 63
"FT456" "LD" "1" 71
"FT458" "LD" "1" 78
"FT460" "LD" "1" 71
"FT461" "LD" "1" 79
"FT462" "LD" "1" 95
"FT464" "LD" "1" 83
"FT466" "LD" "1" 75
"FT469" "LD" "1" 70
"FT470" "LD" "1" 85
"FT471" "LD" "1" 80
"FT472" "LD" "1" 70
"FT477" "LD" "1" 67
"FT478" "LD" "1" 66
"FT479" "LD" "1" 68
"FT481" "LD" "1" 64
"FT482" "LD" "1" 66
"FT483" "LD" "1" 69
"FT485" "LD" "1" 63
"FT488" "LD" "1" 63
"FT489" "LD" "1" 74
"FT491" "LD" "1" 65
"FT492" "LD" "1" 61
"FT493" "LD" "1" 66
"FT494" "LD" "1" 59
"FT495" "LD" "1" 68
"FT496" "LD" "1" 76
"FT497" "LD" "1" 65
"FT498" "LD" "1" 65
"FT500" "LD" "1" 64
"FT501" "LD" "1" 54
"FT502" "LD" "1" 73
"FT507" "LD" "1" 62
"FT509" "LD" "1" 95
"FT510" "LD" "1" 48
"FT511" "LD" "1" 61
"FT512" "LD" "1" 63
"FT513" "LD" "1" 57
"FT515" "LD" "1" 66
"FT516" "LD" "1" 77
"FT517" "LD" "1" 62
"FT731" "LD" "1" 90
"FT732" "LD" "1" 76
"FT733" "LD" "1" 68
"FT738" "LD" "1" 68
"FT741" "LD" "1" 88
"FT742" "LD" "1" 84
"FT745" "LD" "1" 88
"FT746" "LD" "1" 87
"FT760" "LD" "1" 63
"FT872" "LD" "1" 64
"FT873" "LD" "1" 84
"FT878" "LD" "1" 64
"FT879" "LD" "1" 72
"MBR 1012" "LD" "1" 54
"MBR 530" "LD" "1" 69
"MBR 532" "LD" "1" 67
"FT001" "LD" "1" 64
"FT020" "LD" "1" 52
"FT022" "LD" "1" 54
"FT040" "LD" "1" 46
"FT047" "LD" "1" NA
"FT055" "LD" "1" NA
"FT059" "LD" "1" NA
"FT142" "LD" "1" NA
"FT145" "LD" "1" 64
"FT166" "LD" "1" 56
"FT198" "LD" "1" 76
"FT262" "LD" "1" NA
"FT271" "LD" "1" NA
"FT330" "LD" "1" NA
"FT384" "LD" "1" 58
"FT455" "LD" "1" 83
"FT457" "LD" "1" NA
"FT468" "LD" "1" NA
"FT475" "LD" "1" 97
"FT486" "LD" "1" NA
"FT503" "LD" "1" 95
"FT504" "LD" "1" NA
"FT506" "LD" "1" NA
"FT729" "LD" "1" 82
"FT743" "LD" "1" NA
"FT871" "LD" "1" NA
"FT880" "LD" "1" 65
"FT046" "LD" "1" NA
"FT135" "LD" "1" 57
"FT151" "LD" "1" NA
"FT221" "LD" "1" NA
"FT355" "LD" "1" NA
"FT452" "LD" "1" NA
"FT473" "LD" "1" 93
"FT505" "LD" "1" NA
"FT874" "LD" "1" NA
"FT016" "LD" "1" NA
"FT073" "LD" "1" NA
"FT299" "LD" "1" NA
"FT319" "LD" "1" NA
"FT418" "LD" "1" NA
"FT484" "LD" "1" NA
"FT728" "LD" "1" NA
"FT730" "LD" "1" NA
"FT744" "LD" "1" NA
"MK001" "LD" "2" 49
"MK002" "LD" "2" 40
"FT002" "LD" "2" 62
"FT003" "LD" "2" 49
"FT004" "LD" "2" 51
"FT005" "LD" "2" 54
"FT006" "LD" "2" 54
"FT007" "LD" "2" 60
"FT008" "LD" "2" 54
"FT009" "LD" "2" 49
"FT010" "LD" "2" 63
"FT012" "LD" "2" 61
"FT013" "LD" "2" 51
"FT014" "LD" "2" 51
"FT017" "LD" "2" 54
"FT018" "LD" "2" 61
"FT021" "LD" "2" 65
"FT023" "LD" "2" 62
"FT025" "LD" "2" 50
"FT027" "LD" "2" 69
"FT028" "LD" "2" 60
"FT029" "LD" "2" 57
